Incident ID,Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,Operations,latitude,longitude
1703044,"June 11, 2020",Louisiana,Monroe,1101 Richwood Road 2,5,0,1,0,0,,32.437590431867,-92.096700832839
1697453,"June 4, 2020",Alabama,Valhermoso Springs,522 Talucah Rd,7,0,0,0,2,,34.524480569208,-86.676587256187
1666945,"April 27, 2020",Wisconsin,Milwaukee,2800 block of N 12th St,5,0,0,0,1,,,
1640317,"March 15, 2020",Missouri,Springfield,2885 E Chestnut Expressway,4,2,1,0,0,,37.210070265249,-93.236464224803
1640295,"March 15, 2020",North Carolina,Moncure,842 Moncure Flatwood Rd,6,0,1,0,0,,35.587953568114,-79.016967656803
1629488,"February 26, 2020",Wisconsin,Milwaukee,3939 W Highland Blvd,5,0,1,0,0,,43.044504673222,-87.962393205055
1615155,"February 5, 2020",Indiana,Indianapolis,4100 block of Shady Oak Dr,4,0,0,0,4,,39.83279593609,-85.98767761768
1606476,"January 24, 2020",North Carolina,Vanceboro,107 Kinshaw Ct,4,0,1,0,0,,35.232682459993,-77.110130131985
1599331,"January 17, 2020",Utah,Grantsville,93 Eastmoor Dr,4,1,0,0,1,,40.597898913745,-112.431040218041
1568230,"December 10, 2019",New Jersey,Jersey City,223 Martin Luther King Dr,4,3,2,0,0,,40.707054496293,-74.083619293521
1551531,"November 17, 2019",California,Fresno,5361 E Lamona Ave,4,6,0,0,7,,36.760749014387,-119.715193005788
1550546,"November 16, 2019",California,San Diego,2152 Flintridge Dr,5,0,1,0,0,,32.677786156173,-117.069047717849
1539347,"October 31, 2019",California,Orinda,114 Lucille Way,5,3,0,0,0,,37.872414975511,-122.184308710095
1537992,"October 30, 2019",Pennsylvania,Philadelphia,5026 Walton Ave,4,0,0,0,1,,39.949222095533,-75.223644301632
1525476,"October 12, 2019",Illinois,Chicago,6733 W Irving Park Rd,5,0,0,0,1,,41.95271775851,-87.794660599867
1521226,"October 7, 2019",Massachusetts,Abington,135 Centre Ave,4,0,1,0,0,,42.106995591605,-70.938536136342
1520330,"October 6, 2019",Kansas,Kansas City,1013 Central Ave,4,5,0,0,2,,39.101014237896,-94.636130040005
1515327,"September 29, 2019",Texas,Beaumont,4100 block of Highland Ave,4,0,0,0,1,,30.046797404416,-94.085497006108
1512486,"September 21, 2019",Ohio,Cleveland,3616 East 144th St,4,0,0,0,1,,41.461095974174,-81.581409881364
1503192,"September 12, 2019",New Mexico,Albuquerque,1028 Lura Pl SW,4,2,0,0,0,,35.064213760442,-106.68423360317
1495192,"September 2, 2019",Alabama,Elkmont,25019 Ridge Road,5,0,0,0,1,,34.920914773294,-86.969159502088
1492441,"August 31, 2019",Texas,Odessa,8250 TX 191,7,23,1,0,0,,31.921441392077,-102.289688011907
1467828,"August 4, 2019",Ohio,Dayton,419 E 5th St,9,17,1,0,0,,39.757223384861,-84.184448895067
1466705,"August 3, 2019",Texas,El Paso,7101 Gateway Blvd,23,23,0,0,1,,31.776857826712,-106.387985364411
1461352,"July 28, 2019",Wisconsin,Chippewa Falls,16964 54th Ave,4,2,1,0,0,,44.91998028099,-91.328161075131
